,BUILT_FORM,TOTAL_FLOOR_AREA,FLOOR_HEIGHT,GLAZED_AREA,NUMBER_HABITABLE_ROOMS,WINDOWS_DESCRIPTION,WALLS_DESCRIPTION,ROOF_DESCRIPTION,NUMBER_HEATED_ROOMS,NUMBER_OPEN_FIREPLACES,MULTI_GLAZE_PROPORTION,MAINHEAT_DESCRIPTION
6120,4,58.34,2.65,3,4.0,0,16,3,4.0,0.0,100.0,7
6121,4,76.1,2.5,3,5.0,0,16,4,5.0,0.0,100.0,7
6122,0,104.06,2.31,3,6.0,0,0,4,6.0,1.0,100.0,7
6123,3,79.0,2.39,3,4.0,0,0,11,4.0,0.0,100.0,7
6124,5,72.8,2.4,3,5.0,0,16,13,5.0,0.0,100.0,7
6125,4,96.94,2.59,3,4.0,0,16,8,2.0,0.0,100.0,29
6126,3,81.25,2.45,3,4.0,0,1,0,4.0,0.0,100.0,7
6127,4,76.8,2.3,3,5.0,0,0,1,5.0,0.0,100.0,7
6128,5,119.5,2.9,3,6.0,0,0,16,6.0,1.0,100.0,7
6129,5,67.0,2.6,3,3.0,0,3,12,3.0,0.0,100.0,7
6130,4,73.4,2.5,3,5.0,0,16,4,5.0,0.0,100.0,7
6131,5,83.9,2.46,3,4.0,0,3,4,4.0,1.0,100.0,7
6132,4,88.44,2.45,3,5.0,3,1,4,5.0,1.0,8.0,7
6133,4,86.94,2.32,3,3.0,0,1,13,3.0,0.0,100.0,7
6134,4,71.2,2.44,3,3.0,0,3,8,3.0,0.0,100.0,7
6135,4,74.9,2.7,3,5.0,0,16,11,5.0,0.0,100.0,7
6136,4,88.0,2.3,3,4.0,0,3,8,4.0,0.0,100.0,21
6137,1,42.66,2.35,3,2.0,3,0,4,1.0,0.0,25.0,21
6138,4,79.8,2.46,3,4.0,0,16,4,4.0,1.0,100.0,7
6139,4,90.5,2.3,3,5.0,0,0,8,5.0,0.0,100.0,7
6140,5,98.2,2.4,3,7.0,0,1,14,7.0,1.0,100.0,7
6141,3,69.56,2.88,3,4.0,0,16,3,4.0,0.0,100.0,7
6142,4,78.94,2.432,3,5.0,0,16,3,5.0,0.0,100.0,7
6143,3,77.5,2.71,3,4.0,0,1,6,4.0,1.0,100.0,7
6144,3,73.1,2.451,3,4.0,0,3,14,4.0,0.0,100.0,7
6145,4,135.6,2.75,3,7.0,4,16,3,6.0,0.0,0.0,7
6146,4,74.4,2.6,3,4.0,3,16,4,4.0,1.0,94.0,7
6147,1,59.0,2.35,1,2.0,0,0,4,2.0,0.0,100.0,7
6148,0,83.0,2.4,3,5.0,2,0,8,5.0,0.0,85.0,7
6149,4,82.7,2.59,3,5.0,3,3,4,5.0,0.0,96.0,7
6150,5,406.8,2.64,3,6.0,0,3,14,6.0,0.0,100.0,7
6151,5,100.5,2.4,3,5.0,0,16,4,5.0,0.0,100.0,7
6152,4,48.38,2.37,3,3.0,0,0,4,3.0,0.0,100.0,21
6153,5,74.44,2.32,3,5.0,0,1,6,5.0,0.0,100.0,7
6154,0,134.0,2.32,3,7.0,0,2,4,7.0,0.0,100.0,7
6155,4,59.66,2.4,3,4.0,3,16,4,4.0,0.0,25.0,7
6156,5,71.9,2.4,3,4.0,0,1,14,4.0,0.0,100.0,7
6157,3,137.2,2.33,3,5.0,0,0,7,5.0,0.0,100.0,7
6158,3,59.12,2.32,3,5.0,0,0,19,5.0,0.0,100.0,7
6159,4,116.5,2.6,3,5.0,4,16,14,5.0,2.0,0.0,7
6160,5,90.6,2.53,3,5.0,0,3,8,5.0,0.0,100.0,7
6161,5,121.25,2.6,3,6.0,0,3,7,6.0,0.0,100.0,7
6162,3,81.0,2.33,3,5.0,0,0,6,5.0,0.0,100.0,7
6163,0,83.25,2.37,3,5.0,0,0,6,5.0,1.0,100.0,8
6164,5,78.7,2.38,3,4.0,2,0,14,4.0,0.0,90.0,7
6165,4,87.6,2.4,3,5.0,0,0,8,5.0,0.0,100.0,7
6166,3,129.4,2.58,3,4.0,3,2,6,4.0,0.0,10.0,21
6167,4,119.2,2.3,3,3.0,0,3,8,3.0,0.0,100.0,7
6168,3,302.5,2.01,3,12.0,3,0,1,10.0,0.0,20.0,13
6169,0,79.6,2.57,3,5.0,4,1,8,5.0,0.0,0.0,7
6170,0,135.2,2.29,3,5.0,0,0,6,5.0,1.0,100.0,8
6171,0,134.1,2.48,3,5.0,0,2,17,5.0,1.0,100.0,7
6172,0,102.9,2.45,3,4.0,0,1,7,4.0,1.0,100.0,7
6173,0,102.25,2.58,3,5.0,0,1,4,5.0,0.0,100.0,7
6174,0,110.8,2.32,3,7.0,0,0,8,7.0,0.0,100.0,7
6175,4,91.06,2.81,3,5.0,0,16,6,5.0,0.0,100.0,7
6176,4,87.5,2.6,3,5.0,0,16,4,5.0,1.0,100.0,7
6177,5,93.06,2.3,3,6.0,0,0,15,6.0,0.0,100.0,7
6178,0,132.0,2.4,3,6.0,0,0,4,6.0,0.0,100.0,7
6179,4,66.25,2.41,3,4.0,0,19,8,4.0,0.0,100.0,7
6180,0,76.44,2.3,3,5.0,0,3,6,5.0,0.0,100.0,7
6181,3,108.5,2.4,3,6.0,0,0,6,6.0,0.0,100.0,13
6182,4,79.2,2.3,3,3.0,0,3,8,3.0,0.0,100.0,7
6183,5,123.25,2.49,3,5.0,2,1,13,5.0,1.0,98.0,7
6184,5,114.56,2.445,3,4.0,0,21,14,4.0,0.0,100.0,7
6185,5,72.25,2.3,3,4.0,0,1,4,4.0,0.0,100.0,7
6186,5,46.25,2.52,3,5.0,3,1,14,5.0,0.0,65.0,7
6187,5,90.56,2.31,3,4.0,0,1,14,3.0,0.0,100.0,7
6188,1,70.5,2.35,1,5.0,3,0,4,5.0,0.0,45.0,21
6189,5,65.56,2.43,3,5.0,4,3,8,5.0,0.0,0.0,7
6190,5,68.6,2.25,3,3.0,0,1,2,3.0,1.0,100.0,7
6191,5,69.4,2.43,3,4.0,0,1,4,4.0,0.0,100.0,21
6192,5,111.1,2.5,3,4.0,0,3,7,4.0,0.0,100.0,7
6193,4,90.4,2.66,3,5.0,0,3,6,5.0,0.0,100.0,7
6194,0,120.3,2.6,3,6.0,0,3,7,6.0,0.0,100.0,7
6195,4,53.4,2.6,3,2.0,0,16,2,2.0,0.0,100.0,7
6196,3,87.9,2.46,3,5.0,0,16,8,5.0,0.0,100.0,7
6197,4,83.5,2.4,3,4.0,0,3,3,4.0,0.0,100.0,7
6198,0,125.44,2.3,3,5.0,0,3,8,5.0,0.0,100.0,35
6199,0,137.8,2.4,3,7.0,0,0,15,7.0,0.0,100.0,7
6200,5,143.5,2.58,3,7.0,0,1,14,7.0,2.0,100.0,7
6201,5,75.8,2.4,3,4.0,0,0,4,4.0,0.0,100.0,7
6202,4,109.44,2.49,3,6.0,0,16,3,6.0,0.0,100.0,7
6203,4,90.0,2.63,3,4.0,0,1,4,4.0,0.0,100.0,7
6204,5,132.6,3.1,3,6.0,3,16,6,6.0,1.0,60.0,7
6205,5,62.9,2.3,3,3.0,0,1,4,3.0,0.0,100.0,7
